"id","churnBinario","churnSimples","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
2378,0,0.0961538462,0.1016658501,0.1250006054,0.0855482164,0.0903225806451613
576,0,0.0705128205,0.052751919,0.1250000019,0.0855482149,0.07051282051282048
704,0,0.0576923077,0.0533235342,7.63014e-05,1.6222e-06,0.05769230769230771
3818,0,0.0897435897,0.0923566879,0.6250763033,0.7176703959,0.08974358974358976
1972,0,0.1602564103,0.1306549077,0.1252441425,0.0855587724,0.16025641025641024
2632,0,0.0961538462,0.0940715336,0.6252594013,0.7176795246,0.09615384615384615
1539,0,0.0641025641,0.0395231096,0.0009765625,7.80099e-05,0.0641025641025641
2484,0,0.0512820513,0.0464641516,0.1250152607,0.0855484082,0.05128205128205132
1695,0,0.108974359,0.0598562796,0.125061037,0.0855496437,0.10897435897435892
793,0,0.108974359,0.0945614895,0.1250763014,0.085549837,0.10897435897435892
1726,0,0.0384615385,0.0255593663,7.62939e-05,1.6222e-06,0.038461538461538436
485,0,0.0705128205,0.0656540911,0.5012207031,0.6322091262,0.07051282051282048
2177,0,0.2307692308,0.2194185857,0.6262976025,0.7177589647,0.23076923076923073
2357,0,0.0961538462,0.0894986118,0.6250152607,0.7176689671,0.09615384615384615
2881,0,0.0512820513,0.0454025804,0.1250152607,0.0855484082,0.05128205128205132
9635,0,0.0384615385,0.0405030214,0.1250000019,0.0855482149,0.038461538461538436
652,0,0.0833333333,0.052751919,0.1252441425,0.0855587724,0.08333333333333337
1844,0,0.1923076923,0.1771190593,0.1252594385,0.0855589658,0.1923076923076923
1926,0,0.0897435897,0.090070227,0.6250763033,0.7176703959,0.08974358974358976
3510,0,0.0961538462,0.056344929,0.125,0.0855482149,0.09615384615384615
1276,0,0.0833333333,0.0703903315,0.6250610445,0.7176702025,0.08333333333333337
2393,0,0.0448717949,0.0449126245,0.1250152607,0.0855484082,0.04487179487179482
435,0,0.2564102564,0.2341989221,0.1262975931,0.0856384059,0.2564102564102564
192,0,0.2115384615,0.1815286624,0.1262359638,0.0856369756,0.21153846153846156
