"id","churnBinario","churnSimples","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
1,1,1.0,1.0,1.0,1.0,1.0
2,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
3,1,0.9117647059,0.9092436975,0.9992675744,0.9999607443,0.8928571428571429
4,1,0.9117647059,0.931092437,0.9990224838,0.9999219866,0.9117647058823529
5,1,0.7352941176,0.8,0.9970539172,0.9997097402,0.7352941176470589
6,1,1.0,1.0,1.0,1.0,1.0
7,1,0.9411764706,0.912605042,0.8749694824,0.9144512595,0.8666666666666667
8,1,0.8235294118,0.8151260504,0.7478023765,0.7672332311,0.8125
9,1,0.9705882353,0.9831932773,0.9999999702,1.0,0.96
10,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
11,1,0.9117647059,0.9361344538,0.968749998,0.9884223081,0.9090909090909091
12,1,1.0,1.0,1.0,1.0,1.0
13,1,1.0,1.0,1.0,1.0,1.0
14,1,1.0,1.0,1.0,1.0,1.0
15,1,1.0,1.0,1.0,1.0,1.0
16,1,0.9117647059,0.9210084034,0.9999909401,0.999999924,0.8571428571428572
17,1,1.0,1.0,1.0,1.0,1.0
18,1,1.0,1.0,1.0,1.0,1.0
19,1,0.9705882353,0.9798319328,0.9999998808,0.9999999998,0.9565217391304348
20,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
21,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
22,1,1.0,1.0,1.0,1.0,1.0
23,1,1.0,1.0,1.0,1.0,1.0
24,1,0.9705882353,0.9529411765,0.9921875,0.9984331298,0.8571428571428572
25,1,0.8823529412,0.8554621849,0.4999346733,0.3678779849,0.8095238095238095
26,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
27,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
28,1,0.9411764706,0.9882352941,0.999999999,1.0,0.9393939393939394
29,1,0.7352941176,0.8369747899,0.9998697366,0.9999960436,0.71875
30,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
31,1,0.9705882353,0.9445378151,0.75,0.7674558421,0.5
32,1,0.9411764706,0.9445378151,0.9374999999,0.9685285705,0.9393939393939394
33,1,0.5588235294,0.5478991597,0.9013861561,0.9563292679,0.5454545454545454
34,1,1.0,1.0,1.0,1.0,1.0
35,1,0.9705882353,0.9680672269,0.9999847412,0.9999998066,0.9375
36,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
37,1,0.8529411765,0.9025210084,0.9998757829,0.999996106,0.8484848484848485
38,1,1.0,1.0,1.0,1.0,1.0
39,1,0.9117647059,0.9226890756,0.9374999693,0.9685285705,0.9
40,1,0.7647058824,0.7361344538,0.905193313,0.9568712204,0.7333333333333334
41,1,1.0,1.0,1.0,1.0,1.0
42,1,1.0,1.0,1.0,1.0,1.0
43,1,0.9411764706,0.9529411765,0.9995117183,0.9999713018,0.935483870967742
44,1,0.9705882353,0.9798319328,0.9999998808,0.9999999998,0.9565217391304348
45,1,1.0,1.0,1.0,1.0,1.0
46,1,0.8235294118,0.8588235294,0.9997196178,0.9999888811,0.8181818181818181
47,1,0.5882352941,0.6773109244,0.3436256501,0.2707496402,0.5882352941176471
48,1,0.6176470588,0.6302521008,0.8701714255,0.9138307579,0.6060606060606061
49,1,1.0,1.0,1.0,1.0,1.0
50,1,1.0,1.0,1.0,1.0,1.0
51,1,0.8823529412,0.9025210084,0.9995036124,0.9999712293,0.8787878787878788
52,1,0.8823529412,0.9579831933,0.9999998508,0.9999999998,0.8823529411764706
53,1,0.8823529412,0.8336134454,0.9755821228,0.9940958989,0.7777777777777778
54,1,1.0,1.0,1.0,1.0,1.0
55,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
56,1,0.9117647059,0.9378151261,0.9990233778,0.9999219901,0.9117647058823529
57,1,1.0,1.0,1.0,1.0,1.0
58,1,1.0,1.0,1.0,1.0,1.0
59,1,0.9411764706,0.9949579832,0.9999999998,1.0,0.9411764705882353
60,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
61,1,1.0,1.0,1.0,1.0,1.0
62,1,0.7647058824,0.8336134454,0.9997825312,0.9999941355,0.7647058823529411
63,1,0.9411764706,0.9042016807,0.4997558593,0.3678688837,0.8333333333333334
64,1,0.7058823529,0.6352941176,0.1849202809,0.1036190219,0.6875
65,1,0.9411764706,0.8957983193,0.84375,0.9028740932,0.6
66,1,1.0,1.0,1.0,1.0,1.0
67,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
68,1,1.0,1.0,1.0,1.0,1.0
69,1,1.0,1.0,1.0,1.0,1.0
70,1,1.0,1.0,1.0,1.0,1.0
71,1,1.0,1.0,1.0,1.0,1.0
72,1,1.0,1.0,1.0,1.0,1.0
73,1,0.9411764706,0.9831932773,0.9999999977,1.0,0.935483870967742
74,1,1.0,1.0,1.0,1.0,1.0
75,1,1.0,1.0,1.0,1.0,1.0
76,1,1.0,1.0,1.0,1.0,1.0
77,1,1.0,1.0,1.0,1.0,1.0
78,1,0.9411764706,0.9411764706,0.4999999999,0.3678794412,0.9411764705882353
79,1,1.0,1.0,1.0,1.0,1.0
80,1,1.0,1.0,1.0,1.0,1.0
81,1,0.7058823529,0.8537815126,0.9999835735,0.9999998028,0.7058823529411764
82,1,0.8529411765,0.8084033613,0.7182464525,0.7558492586,0.8148148148148149
83,1,0.9117647059,0.9142857143,0.4999990462,0.3678794376,0.9090909090909091
84,1,1.0,1.0,1.0,1.0,1.0
85,1,1.0,1.0,1.0,1.0,1.0
86,1,1.0,1.0,1.0,1.0,1.0
87,1,0.9117647059,0.9226890756,0.9999684691,0.9999994708,0.875
88,1,0.9411764706,0.9579831933,0.9999389644,0.9999985712,0.935483870967742
89,1,0.5882352941,0.5983193277,0.9426831545,0.9823501496,0.5882352941176471
90,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
91,1,1.0,1.0,1.0,1.0,1.0
92,1,0.9705882353,0.9865546218,0.9999999925,1.0,0.962962962962963
93,1,1.0,1.0,1.0,1.0,1.0
94,1,1.0,1.0,1.0,1.0,1.0
95,0,0.4411764706,0.5579831933,0.8232226409,0.8979602489,0.4411764705882353
96,1,0.5588235294,0.5731092437,0.8990452161,0.9560699438,0.53125
97,1,0.9117647059,0.8621848739,0.8593139648,0.9101911615,0.7857142857142857
98,1,0.9705882353,0.9831932773,0.9999999702,1.0,0.96
99,1,0.8235294118,0.843697479,0.9987478181,0.9999109035,0.8181818181818181
100,1,0.9411764706,0.9008403361,0.4990234375,0.3678014313,0.8
101,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
102,1,0.9117647059,0.9025210084,0.9370117185,0.9684998723,0.90625
103,1,0.9117647059,0.9243697479,0.4999999958,0.3678794412,0.9032258064516129
104,1,1.0,1.0,1.0,1.0,1.0
105,1,1.0,1.0,1.0,1.0,1.0
106,1,0.8529411765,0.8470588235,0.9901120662,0.9982171926,0.8484848484848485
107,1,1.0,1.0,1.0,1.0,1.0
108,1,1.0,1.0,1.0,1.0,1.0
109,1,0.9411764706,0.9932773109,0.9999999997,1.0,0.9411764705882353
110,1,1.0,1.0,1.0,1.0,1.0
111,1,0.7352941176,0.756302521,0.9603869831,0.9868253068,0.7352941176470589
112,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
113,1,0.9705882353,0.9478991597,0.9375,0.9685285705,0.75
114,1,0.9117647059,0.9058823529,0.9843673557,0.995740734,0.8846153846153846
115,1,1.0,1.0,1.0,1.0,1.0
116,1,1.0,1.0,1.0,1.0,1.0
117,1,0.9411764706,0.9159663866,0.8749923706,0.914451714,0.8823529411764706
118,1,0.9705882353,0.9781512605,0.9999997616,0.9999999995,0.9545454545454546
119,1,1.0,1.0,1.0,1.0,1.0
120,1,0.8823529412,0.9226890756,0.9990234035,0.9999219901,0.8709677419354839
121,1,1.0,1.0,1.0,1.0,1.0
122,1,1.0,1.0,1.0,1.0,1.0
123,1,1.0,1.0,1.0,1.0,1.0
124,1,0.8823529412,0.8554621849,0.9988327026,0.9999166063,0.7647058823529411
125,1,0.8823529412,0.8554621849,0.9840695858,0.9957288184,0.8181818181818181
126,1,0.9705882353,0.9596638655,0.9995117187,0.9999713018,0.9090909090909091
127,1,1.0,1.0,1.0,1.0,1.0
128,1,0.9117647059,0.9663865546,0.9999980924,0.9999999904,0.9117647058823529
129,1,1.0,1.0,1.0,1.0,1.0
130,1,0.8235294118,0.887394958,0.999875724,0.9999961059,0.8181818181818181
131,1,1.0,1.0,1.0,1.0,1.0
132,1,0.8823529412,0.9277310924,0.999969359,0.9999994742,0.8709677419354839
133,1,0.8529411765,0.9142857143,0.9997557242,0.9999894423,0.8484848484848485
134,1,0.9411764706,0.9394957983,0.9960937351,0.9994235807,0.9230769230769231
135,1,1.0,1.0,1.0,1.0,1.0
136,1,0.9705882353,0.9596638655,0.9995117187,0.9999713018,0.9090909090909091
137,1,1.0,1.0,1.0,1.0,1.0
138,1,1.0,1.0,1.0,1.0,1.0
139,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
140,1,0.9705882353,0.9848739496,0.9999999851,1.0,0.9615384615384616
141,1,0.8529411765,0.8621848739,0.9686851408,0.9884208531,0.8275862068965517
142,1,0.8823529412,0.8806722689,0.7187499962,0.7558781502,0.8823529411764706
143,1,1.0,1.0,1.0,1.0,1.0
144,1,1.0,1.0,1.0,1.0,1.0
145,1,0.5882352941,0.6756302521,0.9058736957,0.9569363551,0.5882352941176471
146,1,1.0,1.0,1.0,1.0,1.0
147,1,0.7941176471,0.8201680672,0.9982757265,0.999882541,0.7878787878787878
148,1,0.8529411765,0.8336134454,0.8436278696,0.9028702093,0.8387096774193549
149,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
150,1,1.0,1.0,1.0,1.0,1.0
151,1,1.0,1.0,1.0,1.0,1.0
152,1,0.8529411765,0.9058823529,0.9920654293,0.9984292459,0.8529411764705882
153,1,1.0,1.0,1.0,1.0,1.0
154,1,0.9117647059,0.912605042,0.9998626113,0.9999959227,0.875
155,1,1.0,1.0,1.0,1.0,1.0
156,1,1.0,1.0,1.0,1.0,1.0
157,1,0.9705882353,0.9932773109,0.9999999995,1.0,0.967741935483871
158,1,1.0,1.0,1.0,1.0,1.0
159,1,1.0,1.0,1.0,1.0,1.0
160,1,1.0,1.0,1.0,1.0,1.0
161,1,0.7647058824,0.756302521,0.8564376676,0.9099024565,0.7575757575757576
162,1,1.0,1.0,1.0,1.0,1.0
163,1,1.0,1.0,1.0,1.0,1.0
164,1,0.7941176471,0.8756302521,0.9990219462,0.9999219852,0.7941176470588236
165,1,0.9705882353,0.9478991597,0.9375,0.9685285705,0.75
166,1,0.8529411765,0.7697478992,0.8403320312,0.9025553323,0.5454545454545454
167,1,0.7941176471,0.8151260504,0.9983824481,0.9998888822,0.7878787878787878
168,1,1.0,1.0,1.0,1.0,1.0
169,1,1.0,1.0,1.0,1.0,1.0
170,1,0.9705882353,0.9529411765,0.9921875,0.9984331298,0.8571428571428572
171,1,1.0,1.0,1.0,1.0,1.0
172,1,1.0,1.0,1.0,1.0,1.0
173,1,0.9705882353,0.9445378151,0.75,0.7674558421,0.5
174,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
175,1,1.0,1.0,1.0,1.0,1.0
176,1,1.0,1.0,1.0,1.0,1.0
177,0,0.5,0.6050420168,0.981556941,0.99548553,0.5
