a,customer_id,customer_index,date,quantity,amount
0,4,1,1997-01-01,2,29.33
1,4,1,1997-01-18,2,29.73
2,4,1,1997-08-02,1,14.96
3,4,1,1997-12-12,2,26.48
4,21,2,1997-01-01,3,63.34
5,21,2,1997-01-13,1,11.77
6,50,3,1997-01-01,1,6.79
7,71,4,1997-01-01,1,13.97
8,86,5,1997-01-01,2,23.94
9,111,6,1997-01-01,1,35.99
10,111,6,1997-01-11,1,32.99
11,111,6,1997-03-15,4,77.96
12,111,6,1997-04-16,3,59.3
13,111,6,1997-04-24,2,134.98
14,111,6,1997-06-23,1,91.92
15,111,6,1997-07-22,3,47.08
16,111,6,1997-07-26,2,71.96
17,111,6,1997-10-25,3,78.47
18,111,6,1997-12-06,3,83.47
19,111,6,1998-01-18,4,84.46
20,111,6,1998-02-15,4,123.96
21,111,6,1998-02-21,2,32.98
22,111,6,1998-02-26,2,23.06
23,111,6,1998-05-10,1,72.99
24,111,6,1998-06-20,3,55.47
25,112,7,1997-01-01,1,11.77
26,112,7,1997-02-05,1,11.77
27,113,8,1997-01-01,3,32.91
28,113,8,1998-03-04,1,15.27
29,113,8,1998-03-07,1,11.49
30,114,9,1997-01-01,1,16.36
31,114,9,1997-05-01,2,28.13
32,114,9,1997-09-08,1,22.97
33,114,9,1998-02-10,1,28.49
34,114,9,1998-02-11,2,28.98
35,131,10,1997-01-01,2,30.32
36,133,11,1997-01-01,1,18.99
37,133,11,1997-01-27,1,14.37
38,133,11,1997-02-01,1,9.77
39,133,11,1997-03-02,1,15.99
40,133,11,1997-05-04,3,47.33
41,133,11,1997-06-21,3,59.74
42,133,11,1997-11-11,2,32.98
43,151,12,1997-01-01,1,13.97
44,166,13,1997-01-01,2,29.53
45,166,13,1997-11-30,2,16.48
46,166,13,1997-12-13,3,36.97
47,166,13,1997-12-21,2,17.98
48,166,13,1997-12-24,3,36.97
49,166,13,1998-02-24,1,11.49
50,166,13,1998-03-18,1,11.88
51,166,13,1998-05-27,1,11.88
52,181,14,1997-01-01,3,43.7
53,198,15,1997-01-01,1,15.76
54,221,16,1997-01-01,1,12.49
55,228,17,1997-01-01,2,25.98
56,228,17,1997-02-06,2,23.54
57,228,17,1997-02-11,1,13.97
58,228,17,1997-02-12,1,27.77
59,228,17,1997-02-28,1,9.98
60,228,17,1997-03-11,1,15.36
61,228,17,1997-05-27,1,21.97
62,228,17,1997-05-31,1,17.3
63,228,17,1997-07-08,3,51.75
64,228,17,1997-08-07,2,36.74
65,228,17,1997-08-28,1,23.97
66,228,17,1997-12-29,3,41.47
67,228,17,1998-01-06,1,29.99
68,234,18,1997-01-01,1,13.97
69,234,18,1997-02-04,1,9.99
70,226,19,1997-01-02,2,35.93
71,226,19,1997-02-23,2,26.73
