,True 20,True 21,True 22,True 23,True 24,True 25,True 26,True 27,True 28,True 29,True 30,True 31,True 32,True 33,True 34,True 35,True 36,True 37,True 38,True 39,True 40,True 41,True 42,True 43,True 44,True 45,True 46,True 47
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,456.6666666666667,456.6666666666667,456.6666666666667,456.6666666666667,456.6666666666667,456.6666666666667
1,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,301.24
2,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,455.75
3,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,315.0,315.0,315.0,315.0,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667,276.6666666666667
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,582.3333333333334,454.25,454.25
5,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,340.0,340.0,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333,393.3333333333333
6,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,239.66666666666666,239.66666666666666
8,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,198.5,198.5,198.5,198.5,198.5,198.5,198.5,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
9,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,230.33333333333334,230.33333333333334,230.33333333333334,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75,422.75
