,True 13,True 14,True 15,True 16
0,16.54,16.54,16.54,16.54
1,29.89,29.89,29.89,29.89
2,17.855,17.855,17.855,17.855
3,21.81,21.81,21.81,21.81
4,22.13,22.13,22.13,22.13
5,0.0,0.0,0.0,0.0
6,22.14,22.14,22.14,22.14
7,29.12,29.12,29.12,29.12
8,20.63,20.63,20.63,20.63
9,0.0,0.0,18.71,18.71
10,24.14,24.14,24.14,24.14
11,15.88,15.88,15.88,15.88
12,24.44,24.44,24.44,24.44
13,13.85,13.85,13.85,13.85
14,19.244999999999997,19.244999999999997,19.244999999999997,19.244999999999997
15,20.04,20.04,20.04,15.165
16,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002
17,17.46,17.46,17.46,17.46
18,24.964999999999996,24.964999999999996,24.964999999999996,24.964999999999996
19,52.53,52.53,52.53,52.53
20,0.0,0.0,10.64,10.64
21,11.18,11.18,11.18,11.18
22,0.0,0.0,0.0,40.0
23,12.62,12.62,12.62,12.62
24,14.56,14.56,14.56,14.56
25,10.01,10.01,10.01,10.01
26,35.84,35.84,35.84,35.84
27,9.68,9.68,9.68,9.68
28,38.72,38.72,38.72,38.72
29,0.0,15.56,15.56,15.56
30,33.06,20.975,20.975,20.975
31,22.22,22.22,22.22,22.22
32,31.41,31.41,31.41,31.41
33,17.39,17.39,17.39,17.39
34,0.0,0.0,12.54,12.54
35,11.48,11.48,11.48,11.48
36,8.25,8.25,8.25,8.25
37,40.08,40.08,40.08,40.08
38,0.0,0.0,0.0,0.0
39,15.455,15.455,15.455,15.455
40,16.866666666666664,16.866666666666664,16.866666666666664,16.866666666666664
41,52.07,52.07,52.07,52.07
42,14.12,14.12,14.12,14.12
43,28.55,28.55,28.55,28.55
44,32.45,32.45,32.45,32.45
45,26.36,26.36,26.36,26.36
46,0.0,10.54,10.54,10.54
47,8.4,8.4,8.4,8.4
48,20.950000000000003,20.950000000000003,20.950000000000003,20.950000000000003
49,10.11,10.11,10.11,10.11
50,16.51,16.51,16.51,16.51
51,28.12,28.12,24.375,24.375
52,23.0,23.0,23.0,23.0
53,26.22,26.22,26.22,26.22
54,33.81,33.81,33.81,33.81
55,26.35,26.35,26.35,26.35
56,10.8,10.8,10.8,10.8
57,15.41,15.41,15.41,15.41
58,32.435,32.435,32.435,32.435
59,28.49,28.49,28.49,28.49
60,0.0,0.0,0.0,41.25
61,15.715,15.715,15.715,15.715
62,9.52,9.52,9.52,9.52
63,16.43,16.43,16.43,16.43
64,4.0,4.0,4.0,4.0
65,8.719999999999999,8.719999999999999,8.719999999999999,9.495
66,39.900000000000006,39.900000000000006,39.900000000000006,39.900000000000006
67,40.35,40.35,40.35,40.35
