,a,customer_id,CustomerID,OrderDate,quantity,ItemProfit,WeekID,DayID
0,0.0,4.0,1.0,1997-01-01,2.0,29.33,0,0
1,6.0,50.0,3.0,1997-01-01,1.0,6.79,0,0
2,7.0,71.0,4.0,1997-01-01,1.0,13.97,0,0
3,8.0,86.0,5.0,1997-01-01,2.0,23.94,0,0
4,25.0,112.0,7.0,1997-01-01,1.0,11.77,0,0
5,27.0,113.0,8.0,1997-01-01,3.0,32.91,0,0
6,30.0,114.0,9.0,1997-01-01,1.0,16.36,0,0
7,35.0,131.0,10.0,1997-01-01,2.0,30.32,0,0
8,43.0,151.0,12.0,1997-01-01,1.0,13.97,0,0
9,52.0,181.0,14.0,1997-01-01,3.0,43.7,0,0
10,53.0,198.0,15.0,1997-01-01,1.0,15.76,0,0
11,54.0,221.0,16.0,1997-01-01,1.0,12.49,0,0
12,68.0,234.0,18.0,1997-01-01,1.0,13.97,0,0
13,1.0,4.0,1.0,1997-01-18,2.0,29.73,2,17
14,1173.0,1750.0,388.0,1997-01-18,1.0,20.97,2,17
15,1175.0,2046.0,389.0,1997-01-18,2.0,17.88,2,17
16,1179.0,2839.0,390.0,1997-01-18,1.0,14.37,2,17
17,1180.0,4124.0,391.0,1997-01-18,2.0,42.73,2,17
18,1181.0,4253.0,392.0,1997-01-18,1.0,15.36,2,17
19,1182.0,4285.0,393.0,1997-01-18,1.0,15.36,2,17
20,1185.0,4288.0,395.0,1997-01-18,2.0,24.14,2,17
21,1186.0,4288.0,395.0,1997-01-18,1.0,25.77,2,17
22,1188.0,4309.0,396.0,1997-01-18,3.0,33.31,2,17
23,1190.0,4316.0,397.0,1997-01-18,1.0,25.77,2,17
24,1194.0,4322.0,398.0,1997-01-18,2.0,34.98,2,17
25,1196.0,4330.0,399.0,1997-01-18,2.0,19.54,2,17
26,1197.0,4349.0,400.0,1997-01-18,2.0,23.54,2,17
27,1198.0,4374.0,401.0,1997-01-18,1.0,6.79,2,17
28,1201.0,4379.0,402.0,1997-01-18,2.0,20.75,2,17
29,1215.0,4392.0,404.0,1997-01-18,1.0,20.97,2,17
30,1218.0,4407.0,405.0,1997-01-18,1.0,11.77,2,17
31,1219.0,4408.0,406.0,1997-01-18,2.0,32.74,2,17
32,1222.0,4424.0,407.0,1997-01-18,2.0,28.93,2,17
33,1225.0,4427.0,408.0,1997-01-18,3.0,44.29,2,17
34,1239.0,4504.0,414.0,1997-01-18,2.0,34.72,2,17
35,2.0,4.0,1.0,1997-08-02,1.0,14.96,30,213
36,3.0,4.0,1.0,1997-12-12,2.0,26.48,49,345
37,4122.0,14519.0,1408.0,1997-12-12,1.0,12.99,49,345
38,5501.0,19023.0,1869.0,1997-12-12,2.0,26.98,49,345
39,6656.0,22791.0,2265.0,1997-12-12,1.0,9.49,49,345
40,5.0,21.0,2.0,1997-01-13,1.0,11.77,1,12
41,814.0,3008.0,266.0,1997-01-13,1.0,11.77,1,12
42,822.0,858.0,269.0,1997-01-13,2.0,26.73,1,12
43,825.0,2274.0,271.0,1997-01-13,3.0,43.53,1,12
44,826.0,2390.0,272.0,1997-01-13,1.0,26.99,1,12
45,829.0,2574.0,273.0,1997-01-13,1.0,14.37,1,12
46,830.0,3001.0,274.0,1997-01-13,1.0,15.9,1,12
47,834.0,3016.0,275.0,1997-01-13,2.0,21.54,1,12
48,856.0,3030.0,277.0,1997-01-13,1.0,31.97,1,12
49,857.0,3047.0,278.0,1997-01-13,1.0,15.36,1,12
50,858.0,3060.0,279.0,1997-01-13,1.0,14.79,1,12
51,859.0,3076.0,280.0,1997-01-13,1.0,18.36,1,12
52,860.0,3087.0,281.0,1997-01-13,1.0,14.37,1,12
53,865.0,3102.0,283.0,1997-01-13,1.0,17.76,1,12
54,869.0,3106.0,284.0,1997-01-13,3.0,33.38,1,12
55,871.0,3112.0,285.0,1997-01-13,3.0,40.11,1,12
56,883.0,3158.0,288.0,1997-01-13,2.0,30.72,1,12
57,899.0,3171.0,290.0,1997-01-13,2.0,26.94,1,12
58,903.0,3183.0,292.0,1997-01-13,1.0,15.36,1,12
59,905.0,3199.0,293.0,1997-01-13,2.0,29.73,1,12
60,911.0,3242.0,295.0,1997-01-13,1.0,20.99,1,12
61,912.0,3262.0,296.0,1997-01-13,1.0,12.77,1,12
62,26.0,112.0,7.0,1997-02-05,1.0,11.77,5,35
63,354.0,1605.0,136.0,1997-02-05,2.0,19.96,5,35
64,1480.0,5309.0,496.0,1997-02-05,1.0,15.36,5,35
65,2608.0,9443.0,897.0,1997-02-05,1.0,11.77,5,35
66,2658.0,2198.0,913.0,1997-02-05,1.0,13.77,5,35
67,2659.0,9202.0,914.0,1997-02-05,2.0,23.54,5,35
68,2661.0,9611.0,915.0,1997-02-05,4.0,37.56,5,35
69,2664.0,9626.0,917.0,1997-02-05,1.0,13.77,5,35
70,2665.0,9671.0,918.0,1997-02-05,1.0,12.77,5,35
71,2666.0,9687.0,919.0,1997-02-05,1.0,8.77,5,35
72,2667.0,9704.0,920.0,1997-02-05,1.0,13.97,5,35
73,2676.0,9734.0,923.0,1997-02-05,1.0,14.37,5,35
74,2677.0,9756.0,924.0,1997-02-05,2.0,12.57,5,35
75,2681.0,9770.0,925.0,1997-02-05,2.0,29.92,5,35
76,2682.0,9786.0,926.0,1997-02-05,3.0,37.47,5,35
77,2683.0,9810.0,927.0,1997-02-05,2.0,24.74,5,35
78,2687.0,9825.0,928.0,1997-02-05,2.0,20.74,5,35
79,2690.0,9826.0,929.0,1997-02-05,1.0,13.97,5,35
80,2696.0,9842.0,931.0,1997-02-05,1.0,14.37,5,35
81,2697.0,9848.0,932.0,1997-02-05,2.0,24.96,5,35
82,2702.0,9849.0,933.0,1997-02-05,1.0,20.97,5,35
83,2704.0,9858.0,934.0,1997-02-05,2.0,29.92,5,35
84,2705.0,9873.0,935.0,1997-02-05,1.0,14.96,5,35
