iter	RMSE
0	8.688344971
1	8.219700005
2	7.812475086
3	7.483813371
4	7.189847891
5	6.947555859
6	6.725444772
7	6.545161687
8	6.390817933
9	6.263737482
10	6.154031733
11	6.072646378
12	5.997308696
13	5.936560237
14	5.884836534
15	5.841457141
16	5.804205624
17	5.772692796
18	5.748437406
19	5.726691222
20	5.708754172
21	5.693097293
22	5.682270857
23	5.671014424
24	5.662859586
25	5.65469225
26	5.649408059
27	5.645269012
28	5.63976627
29	5.636659182
30	5.633006246
31	5.630862837
32	5.627410526
33	5.625193856
34	5.621694957
35	5.618435728
36	5.615551844
37	5.614183559
38	5.613190541
39	5.610355646
40	5.609184913
41	5.607882498
42	5.606778763
43	5.605596678
44	5.603498166
45	5.60296418
46	5.602214577
47	5.600827501
48	5.599423622
49	5.598028105
50	5.596517181
51	5.596073215
52	5.595648623
53	5.595227303
54	5.594719488
55	5.59388588
56	5.5931714
57	5.592993994
58	5.592731351
59	5.59238701
60	5.59110329
61	5.589701898
62	5.589246809
63	5.589011796
64	5.58759621
65	5.587043317
66	5.586707862
67	5.586358405
68	5.585975664
69	5.585336831
70	5.584579979
71	5.584286284
72	5.583765827
73	5.582295603
74	5.581173949
75	5.580436139
76	5.580069562
77	5.579025024
78	5.577963635
79	5.576352933
80	5.576154089
81	5.576039506
82	5.575696977
83	5.57541359
84	5.575298537
85	5.575038632
86	5.574673323
87	5.574489916
88	5.574400956
89	5.572627564
90	5.571116366
91	5.570759035
92	5.569375579
93	5.569245146
94	5.569025692
95	5.56874046
96	5.568264968
97	5.568030914
98	5.567813269
99	5.567594813
100	5.566783828
101	5.566445228
102	5.565352044
103	5.563337285
104	5.562973946
105	5.5621189
106	5.561323493
107	5.561147882
108	5.560570234
109	5.558764484
110	5.557377117
111	5.55690375
112	5.554895411
113	5.553648718
114	5.552473201
115	5.55121942
116	5.550119009
117	5.549677696
118	5.548572389
119	5.547662215
120	5.546086678
121	5.544954182
122	5.544173001
123	5.543509182
124	5.542061508
125	5.541094694
126	5.540882121
127	5.540138604
128	5.539434069
129	5.538491317
130	5.537974035
131	5.537083573
132	5.536479062
133	5.53614278
134	5.535925132
135	5.535501011
136	5.53523845
137	5.534556369
138	5.534187839
139	5.533104988
140	5.532129624
141	5.531835645
142	5.531424785
143	5.531257571
144	5.530178838
145	5.529154849
146	5.52795656
147	5.527682988
148	5.527281186
149	5.525341779
150	5.52467181
151	5.524077202
152	5.523243144
153	5.523047142
154	5.522707789
155	5.520842653
156	5.5206282
157	5.520090154
158	5.519250921
159	5.517719088
160	5.516606305
161	5.516034529
162	5.51500705
163	5.514447937
164	5.513671605
165	5.513462727
166	5.51262996
167	5.510910228
168	5.510228764
169	5.508632189
170	5.508445715
171	5.507695562
172	5.507560839
173	5.50661226
174	5.505854889
175	5.505514294
176	5.50308443
177	5.502450934
178	5.501288512
179	5.499612042
180	5.498930853
181	5.498432118
182	5.497921914
183	5.497203661
184	5.496402819
185	5.495701952
186	5.495323223
187	5.49455569
188	5.493980537
189	5.491492113
190	5.491186774
191	5.490569157
192	5.490063593
193	5.489439936
194	5.488514204
195	5.488184173
196	5.487803038
197	5.486394069
198	5.485923176
199	5.485311647
200	5.485135364
201	5.483632816
202	5.483385526
203	5.482652165
204	5.481302553
205	5.480859372
206	5.480525775
207	5.480224689
208	5.48002945
209	5.479607001
210	5.478932405
211	5.477982562
212	5.477450395
213	5.476872384
214	5.476030099
215	5.475792039
216	5.474184933
217	5.473613247
218	5.472203859
219	5.471807498
220	5.471364282
221	5.471060649
222	5.468512872
223	5.467726874
224	5.466668369
225	5.46616354
226	5.464677124
227	5.464567995
228	5.463244244
229	5.461906534
230	5.461152804
231	5.460819686
232	5.460403244
233	5.460023626
234	5.459836136
235	5.459523033
236	5.459347755
237	5.458276752
238	5.457233434
239	5.456565172
240	5.45605
241	5.455909415
242	5.4554071
243	5.455193258
244	5.454475692
245	5.453607095
246	5.453336483
247	5.45283462
248	5.452232765
249	5.451799807
250	5.451359743
251	5.450858194
252	5.449545989
253	5.449317678
254	5.448680301
255	5.447462643
256	5.446901018
257	5.446077018
258	5.444837888
259	5.444575257
260	5.444246194
261	5.441864961
262	5.44063752
263	5.439897237
264	5.43850849
265	5.438303356
266	5.437712793
267	5.437163457
268	5.436767615
269	5.436171347
270	5.43591585
271	5.43568719
272	5.435210346
273	5.435026374
274	5.434747647
275	5.434413754
276	5.434036344
277	5.432886366
278	5.43224799
279	5.431345472
280	5.430700282
281	5.429689862
282	5.428414528
283	5.427881411
284	5.427444188
285	5.426489877
286	5.426013287
287	5.424745963
288	5.424015035
289	5.4235185
290	5.423055837
291	5.422571101
292	5.421914727
293	5.420794058
294	5.420282365
295	5.420117627
296	5.419347876
297	5.418896519
298	5.418726751
299	5.418350698
