iter	Passed	Remaining
0	2	636
1	4	596
2	5	582
3	7	585
4	9	568
5	11	555
6	13	547
7	14	539
8	16	525
9	17	516
10	19	507
11	20	501
12	22	491
13	23	484
14	25	475
15	26	467
16	27	461
17	29	455
18	30	449
19	31	445
20	33	439
21	34	434
22	35	428
23	37	425
24	38	421
25	39	417
26	40	412
27	42	408
28	43	404
29	44	401
30	45	398
31	47	394
32	48	390
33	49	387
34	50	384
35	52	381
36	53	378
37	54	375
38	55	373
39	56	370
40	58	367
41	59	364
42	60	361
43	61	359
44	63	357
45	64	355
46	65	353
47	66	351
48	68	349
49	69	347
50	70	345
51	72	343
52	73	341
53	74	340
54	75	338
55	77	336
56	78	334
57	79	332
58	81	331
59	82	329
60	83	327
61	85	326
62	86	324
63	87	323
64	88	321
65	90	320
66	91	318
67	92	317
68	94	315
69	95	313
70	96	312
71	98	310
72	99	309
73	100	307
74	102	306
75	103	304
76	104	303
77	106	301
78	107	300
79	108	298
80	110	297
81	111	296
82	112	294
83	114	293
84	115	291
85	116	290
86	117	288
87	119	286
88	120	285
89	121	284
90	123	283
91	124	281
92	126	280
93	127	279
94	128	277
95	130	276
96	131	274
97	132	273
98	133	271
99	135	270
100	136	269
101	137	267
102	139	266
103	140	265
104	142	264
105	143	262
106	144	261
107	146	260
108	147	258
109	148	257
110	150	255
111	151	254
112	152	252
113	154	251
114	155	250
115	156	248
116	158	247
117	159	245
118	160	244
119	162	243
120	163	241
121	164	240
122	166	239
123	167	237
124	168	236
125	170	234
126	171	233
127	172	231
128	173	230
129	175	229
130	176	227
131	177	226
132	179	225
133	180	223
134	181	222
135	183	220
136	184	219
137	185	218
138	187	216
139	188	215
140	189	214
141	191	212
142	192	211
143	193	210
144	195	208
145	196	207
146	197	205
147	199	204
148	200	203
149	201	201
150	203	200
151	204	199
152	205	197
153	207	196
154	208	195
155	210	193
156	211	192
157	212	191
158	214	189
159	215	188
160	216	187
161	218	185
162	219	184
163	220	183
164	222	181
165	223	180
166	224	179
167	226	177
168	227	176
169	228	174
170	230	173
171	231	172
172	232	170
173	234	169
174	235	168
175	236	166
176	238	165
177	239	164
178	240	162
179	242	161
180	243	160
181	245	158
182	246	157
183	247	156
184	249	154
185	250	153
186	251	152
187	253	150
188	254	149
189	256	148
190	257	146
191	258	145
192	260	144
193	261	142
194	262	141
195	263	140
196	265	138
197	266	137
198	268	136
199	269	134
200	270	133
201	272	131
202	273	130
203	274	129
204	276	128
205	277	126
206	279	125
207	280	124
208	281	122
209	282	121
210	284	119
211	285	118
212	287	117
213	288	116
214	290	114
215	291	113
216	292	112
217	294	110
218	295	109
219	296	107
220	298	106
221	299	105
222	300	103
223	302	102
224	303	101
225	305	99
226	306	98
227	307	97
228	309	95
229	310	94
230	311	93
231	313	91
232	314	90
233	315	89
234	317	87
235	318	86
236	319	85
237	321	83
238	322	82
239	323	80
240	325	79
241	326	78
242	327	76
243	329	75
244	330	74
245	331	72
246	332	71
247	334	70
248	335	68
249	337	67
250	338	66
251	339	64
252	341	63
253	342	62
254	343	60
255	345	59
256	346	58
257	348	56
258	349	55
259	350	53
260	352	52
261	353	51
262	355	49
263	356	48
264	357	47
265	359	45
266	360	44
267	361	43
268	363	41
269	364	40
270	365	39
271	366	37
272	368	36
273	369	35
274	371	33
275	372	32
276	373	31
277	375	29
278	376	28
279	377	26
280	379	25
281	380	24
282	381	22
283	383	21
284	384	20
285	385	18
286	387	17
287	388	16
288	389	14
289	391	13
290	392	12
291	393	10
292	395	9
293	396	8
294	397	6
295	399	5
296	400	4
297	401	2
298	403	1
299	404	0
